depth_A,C,La,Ni
6.799551954327717,0.6143479411409812,0.38565205885901876,0.38565205885901876
6.999538776513827,0.5598881592563312,0.44011184074366877,0.44011184074366877
7.199525598699936,0.504269340324361,0.49573065967563895,0.49573065967563895
7.399512420886046,0.448567273337654,0.551432726662346,0.551432726662346
7.599499243072154,0.39386258548641107,0.6061374145135889,0.6061374145135889
7.799486065258264,0.34117825553702863,0.6588217444629714,0.6588217444629714
7.999472887444373,0.2914226449288604,0.7085773550711396,0.7085773550711396
8.199459709630483,0.24534329529653365,0.7546567047034664,0.7546567047034664
8.399446531816592,0.20349533449175894,0.7965046655082411,0.7965046655082411
8.5994333540027,0.16622648928773465,0.8337735107122654,0.8337735107122654
8.79942017618881,0.13367871877707693,0.8663212812229231,0.8663212812229231
8.99940699837492,0.10580465920800153,0.8941953407919985,0.8941953407919985
9.19939382056103,0.08239565887534206,0.9176043411246579,0.9176043411246579
9.399380642747138,0.06311733942780329,0.9368826605721967,0.9368826605721967
9.599367464933248,0.047548396296664186,0.9524516037033358,0.9524516037033358
9.799354287119357,0.035218689708957585,0.9647813102910424,0.9647813102910424
9.999341109305467,0.025643442517639503,0.9743565574823605,0.9743565574823605
10.199327931491576,0.018351371604288236,0.9816486283957118,0.9816486283957118
10.399314753677686,0.012905650428950644,0.9870943495710494,0.9870943495710494
10.599301575863795,0.008917573377429378,0.9910824266225706,0.9910824266225706
10.799288398049903,0.0060535583507047575,0.9939464416492952,0.9939464416492952
10.999275220236013,0.004036629177223583,0.9959633708227764,0.9959633708227764
11.199262042422122,0.0026437623425381584,0.9973562376574618,0.9973562376574618
11.399248864608232,0.0017005007925505744,0.9982994992074494,0.9982994992074494
11.59923568679434,0.001074091430772306,0.9989259085692277,0.9989259085692277
11.799222508980451,0.0006661593031656032,0.9993338406968344,0.9993338406968344
11.99920933116656,0.0004056512624095454,0.9995943487375905,0.9995943487375905
12.19919615335267,0.00024251222551363583,0.9997574877744864,0.9997574877744864
12.399182975538778,0.00014232826824511768,0.9998576717317549,0.9998576717317549
12.599169797724889,8.199706536404783e-05,0.999918002934636,0.999918002934636
12.799156619910997,4.63692423197104e-05,0.9999536307576803,0.9999536307576803
12.999143442097106,0.0,1.0,1.0
13.199130264283216,0.0,1.0,1.0
13.399117086469325,0.0,1.0,1.0
13.599103908655435,0.0,1.0,1.0
13.799090730841543,0.0,1.0,1.0
13.999077553027654,0.0,1.0,1.0
14.199064375213762,0.0,1.0,1.0
14.399051197399872,0.0,1.0,1.0
14.599038019585981,0.0,1.0,1.0
14.799024841772091,0.0,1.0,1.0
14.9990116639582,0.0,1.0,1.0
15.198998486144308,0.0,1.0,1.0
15.398985308330419,0.0,1.0,1.0
15.598972130516527,0.0,1.0,1.0
15.798958952702638,0.0,1.0,1.0
15.998945774888746,0.0,1.0,1.0
16.198932597074855,0.0,1.0,1.0
16.398919419260967,0.0,1.0,1.0
16.598906241447075,0.0,1.0,1.0
16.798893063633184,0.0,1.0,1.0
16.998879885819292,0.0,1.0,1.0
17.1988667080054,0.0,1.0,1.0
17.398853530191513,0.0,1.0,1.0
17.59884035237762,0.0,1.0,1.0
17.79882717456373,0.0,1.0,1.0
17.99881399674984,0.0,1.0,1.0
18.19880081893595,0.0,1.0,1.0
18.39878764112206,0.0,1.0,1.0
18.598774463308168,0.0,1.0,1.0
18.798761285494276,0.0,1.0,1.0
18.998748107680388,0.0,1.0,1.0
19.198734929866497,0.0,1.0,1.0
19.398721752052605,0.0,1.0,1.0
19.598708574238714,0.0,1.0,1.0
19.798695396424822,0.0,1.0,1.0
19.998682218610934,0.0,1.0,1.0
20.198669040797043,0.0,1.0,1.0
20.39865586298315,0.0,1.0,1.0
20.59864268516926,0.0,1.0,1.0
20.798629507355372,0.0,1.0,1.0
20.99861632954148,0.0,1.0,1.0
21.19860315172759,0.0,1.0,1.0
21.398589973913698,0.0,1.0,1.0
21.598576796099806,0.0,1.0,1.0
21.798563618285918,0.0,1.0,1.0
21.998550440472027,0.0,1.0,1.0
22.198537262658135,0.0,1.0,1.0
22.398524084844244,0.0,1.0,1.0
