evaluation,objective,C 1s_raw,La 4d_raw,Ni 3p_raw,reflectivity_raw,C 1s_weighted,La 4d_weighted,Ni 3p_weighted,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,carbon_thickness,carbon_roughness_fraction,top_lno_total_thickness,top_lno_layer1_thickness,cap_roughness_fraction,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,reflectivity_angle_offset,rc_angle_offset
7.700000000000000000e+01,1.153464950232915426e-01,6.194355142095296814e-03,8.826445252410603090e-04,9.314349378809789071e-04,5.340353953143888166e-01,3.097177571047648407e-03,2.647933575723180818e-03,2.794304813642936938e-03,1.068070790628777716e-01,1.074926999863237143e-01,2.625220001209527254e-02,4.787519999081268907e-02,1.290999935008585453e-04,3.321439999854192138e-02,1.242349950453271212e+01,9.001356340863519989e-01,6.056958905535369553e+01,3.000000000000000000e+01,5.131798323393085282e-01,1.623506002639428658e+01,1.679965773749615821e+01,2.233661492395827786e+00,7.163000510759367501e-01,0.000000000000000000e+00,2.000000000000000000e+01,4.297675362531913734e+00,2.000000000000000000e+00,4.049963343127632953e+00,3.447140461605194162e+00,3.544053149160772520e+00,8.274604313006050926e-02,-1.774529590447614380e-01
7.800000000000000000e+01,1.430623625368087071e-01,2.960656328814160673e-03,7.954379488542398296e-04,1.219129843316041351e-03,6.776916549794538280e-01,1.480328164407080337e-03,2.386313846562719380e-03,3.657389529948124052e-03,1.355383309958907712e-01,1.140529000549577177e-01,3.107569995336234570e-02,4.856179998023435473e-02,1.203000429086387157e-04,3.427190001821145415e-02,1.141411239550139278e+01,7.900871083346007184e-01,5.601695916617384796e+01,1.581837036325720902e+01,5.441389301336468920e-02,1.582413790930173469e+01,1.662727283283545177e+01,8.260546292775194921e-01,1.514710206396973624e-01,0.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000000e+00,2.645819802568449841e+00,2.887822758636999332e+00,4.462497493124496728e+00,1.000000000000000000e+00,-1.418499121910655469e-01,2.419673444921819905e-01
7.900000000000000000e+01,4.636226222541810910e-02,3.899219073037877605e-03,3.334692586831263048e-03,3.848831154370061479e-03,1.143104073264759879e-01,1.949609536518938802e-03,1.000407776049378958e-02,1.154649346311018357e-02,2.286208146529519758e-02,1.043308999505825341e-01,2.805219998117536306e-02,4.667270003119483590e-02,9.399995906278491020e-05,2.949069999158382416e-02,6.398969751210271006e+00,9.555390704848197858e-01,6.009966793196956303e+01,3.000000000000000000e+01,2.309948232160467796e-01,1.654120062847714223e+01,1.757735642150772293e+01,0.000000000000000000e+00,1.180364953785192572e+00,2.913912796814398476e+01,1.446167404734660700e+01,2.308688908608427681e+00,2.000000000000000000e+00,2.251098372335541775e+00,2.974683955631433285e+00,4.453003794524473591e+00,1.014118736847380298e-02,1.044672940031426966e-01
8.000000000000000000e+01,4.576315609817118574e-02,2.020797795984252861e-03,4.789583245159740742e-04,6.639978312988122772e-04,2.066194436636734910e-01,1.010398897992126430e-03,1.436874973547922277e-03,1.991993493896436832e-03,4.132388873273470237e-02,1.023510000086389482e-01,2.381410001544281840e-02,4.831540002487599850e-02,1.238999539054930210e-04,3.007929999148473144e-02,9.754861949501762552e+00,6.763260722253167101e-01,5.866116560283872161e+01,3.000000000000000000e+01,1.516199725095095097e-01,1.622167543601756634e+01,1.707780481274864570e+01,1.610482979968211659e+00,0.000000000000000000e+00,1.443659784951871750e+01,6.204898156500821216e+00,2.060672159873059517e+00,2.000000000000000000e+00,3.510292278230184859e+00,2.305305213178574064e+00,2.664328159941135254e+00,3.041841479671625326e-03,1.070113998727513782e-01
8.100000000000000000e+01,7.034769264485597751e-02,1.017934086081820691e-02,1.330854231895379439e-03,1.474950124490798792e-03,2.842030457264416721e-01,5.089670430409103455e-03,3.992562695686138752e-03,4.424850373472396375e-03,5.684060914528833719e-02,1.207873999956063926e-01,2.830370003357529640e-02,5.960770003730431199e-02,1.212999923154711723e-04,3.273420000914484262e-02,1.447407012755058631e+01,2.799152810827509885e-01,6.255155257727430040e+01,3.000000000000000000e+01,4.808674808109175691e-01,1.543997279057759897e+01,1.850000000000000000e+01,1.093139724113627365e+00,0.000000000000000000e+00,9.248314261647761825e+00,1.958910011389403039e+01,4.779854557412430260e+00,2.000000000000000000e+00,4.320845574597452554e+00,2.867621788540267502e+00,2.151555853453007927e+00,6.299797287095287857e-02,-4.652701426998639977e-03
8.200000000000000000e+01,6.234853977402782937e-02,8.139655774072331387e-03,1.184288573756278520e-03,1.407436502544363302e-03,2.525176832904486579e-01,4.069827887036165694e-03,3.552865721268835559e-03,4.222309507633089688e-03,5.050353665808973713e-02,1.075223999796435237e-01,2.653259999351575971e-02,5.199139995966106653e-02,1.300000003539025784e-04,2.884889999404549599e-02,1.432280499118961892e+01,6.952079898319802886e-01,5.827990845941396714e+01,3.000000000000000000e+01,1.574657923280543548e-01,1.672793472379782997e+01,1.638229220780622342e+01,7.020709601933319277e-01,1.304496236998518022e+00,4.285887541827893443e+00,1.975246675603780844e+01,4.536880549739122692e+00,2.000000000000000000e+00,4.995335759668982689e+00,4.741681118493754177e+00,4.554083357362110007e+00,1.478188249711085978e-01,1.212580297330831947e-01
8.300000000000000000e+01,1.234201015925813216e-01,8.675261402613810430e-03,2.096085597594618023e-03,2.622605418329771506e-03,5.246319892175062005e-01,4.337630701306905215e-03,6.288256792783854070e-03,7.867816254989314084e-03,1.049263978435012457e-01,1.063362999702803791e-01,2.691189997131004930e-02,4.567890003090724349e-02,1.199999824166297913e-04,3.360710002016276121e-02,6.500055027607869462e+00,4.561223989993429262e-01,4.865891555768976673e+01,3.000000000000000000e+01,1.949369184075477601e-01,1.850000000000000000e+01,1.300000000000000000e+01,5.145364195863494361e-01,3.000000000000000000e+00,0.000000000000000000e+00,1.368496827338152855e+01,5.000000000000000000e+00,3.932687424321395397e+00,2.666775647469191934e+00,3.277518096952074522e+00,4.924776821044408948e+00,-1.466628993870493780e-01,-2.999999999999999889e-01
8.400000000000000000e+01,2.608047426646121700e-02,2.897232842012040840e-03,3.176933223969437997e-04,4.937516963743804246e-04,1.109876139457061234e-01,1.448616421006020420e-03,9.530799671908314532e-04,1.481255089123141274e-03,2.219752278914122537e-02,1.171051999554038048e-01,2.862409997032955289e-02,4.765180003596469760e-02,7.919996278360486031e-05,4.073000000789761543e-02,8.111266966831589542e+00,5.269596443387113416e-01,6.209945416924000483e+01,3.000000000000000000e+01,7.381958184212039642e-01,1.638491470543222661e+01,1.721461502991078163e+01,3.961255086960350225e-01,2.710709881313315250e+00,1.948329768545650609e+01,1.437252543830452822e+01,4.654586905264789465e+00,2.000000000000000000e+00,3.677706432863814268e+00,4.058442919841237284e+00,2.279708336992929851e+00,-1.205276350360560966e-01,-1.008905361845408299e-01
8.500000000000000000e+01,4.593327107484477395e-02,6.084072309600879053e-03,1.212868849103431205e-03,1.647757276372778090e-03,1.715467827180785221e-01,3.042036154800439526e-03,3.638606547310293399e-03,4.943271829118333835e-03,3.430935654361570719e-02,1.677914999891072512e-01,2.397009998094290495e-02,8.351309999125078321e-02,1.284999889321625233e-04,6.015359994489699602e-02,4.753831391807514350e+00,7.730037624074738156e-01,6.141405640479946015e+01,1.939467214873199907e+01,5.610783435125450691e-02,1.608832497450855215e+01,1.752652090843671218e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.597949385530644228e+01,1.170882620392965912e+01,2.648301008315329774e+00,3.893876380556366534e+00,2.696620719588659121e+00,4.460866773399493113e+00,1.000000000000000000e+00,1.138902050102687524e-01,2.999999999999999889e-01
8.600000000000000000e+01,2.042146377258827195e-01,7.183144031568785594e-03,1.277797132896895749e-03,1.721362260408761764e-03,9.581279376509067580e-01,3.591572015784392797e-03,3.833391398690687464e-03,5.164086781226285075e-03,1.916255875301813572e-01,1.100136999739333987e-01,2.863449999131262302e-02,4.951500002061948180e-02,7.479998748749494553e-05,3.177320002578198910e-02,9.014438150915424330e+00,5.841547264178026388e-01,5.165522894573246049e+01,1.479984679534733694e+01,9.575358917705081296e-01,1.612241993365709192e+01,1.616879329449286118e+01,2.297940216615296904e+00,2.604214467864810700e+00,0.000000000000000000e+00,1.221258344257175388e+01,4.917418805305215912e+00,2.000000000000000000e+00,4.306855810437300036e+00,3.747296839035140437e+00,1.948002385349957066e+00,9.746393368319478112e-02,2.999999999999999889e-01
