 LaNiO3 Density=7.25
 Energy(eV), Delta, Beta
  478.292328  0.00313940458  0.000800983398
  487.644135  0.00300031458  0.000762075651
  497.178772  0.00286103622  0.000724976533
  506.899902  0.00271965563  0.000688944419
  516.811035  0.00257121772  0.00065236917
  526.916016  0.00239739986  0.000616461388
  537.218506  0.00198126934  0.000582568173
  547.722534  0.00186022848  0.00105709222
  558.431885  0.00215777569  0.000994067173
  569.350586  0.00216630171  0.000934823824
  580.482849  0.00213605305  0.000878309482
  591.832703  0.0020886336  0.000824919902
  603.40448  0.00203222665  0.000774828368
  615.202637  0.00197035843  0.000728111889
  627.231323  0.00190516072  0.000684491359
  639.4953  0.00183745299  0.000643594365
  651.999023  0.0017686697  0.000605123525
  664.747253  0.00169870793  0.000568763004
  677.74469  0.00162764941  0.000535173342
  690.996338  0.00155667576  0.000504383643
  704.507019  0.00148651667  0.000475190114
  718.281921  0.00141541555  0.000445989484
  732.326111  0.0013418789  0.000417239353
  746.644958  0.00126450416  0.000389829307
  761.243713  0.00118316559  0.000365990389
  776.12793  0.0010954407  0.000343399559
  791.303162  0.000997053459  0.000322176347
  806.775085  0.000876948063  0.000302265427
  822.549561  0.000688830682  0.000283600151
  838.632507  3.90000678E-05  0.000769109814
  855.029846  0.00036468124  0.000967786764
  871.747864  0.000792327453  0.000903017819
  888.792664  0.000879016763  0.000842645648
  906.170837  0.000919290469  0.000786313671
  923.888733  0.000935020391  0.000733759371
  941.953064  0.000935524469  0.000684729603
  960.370544  0.000922347943  0.000640470767
  979.148254  0.000903386855  0.000608560455
  998.293091  0.000882232154  0.000583995483
  1017.81226  0.000873867597  0.000566639355
  1037.71289  0.000865151698  0.000537156651
  1058.00281  0.000849012577  0.000509077508
  1078.68945  0.000831424783  0.000483789627
  1099.78052  0.000813429884  0.000459908799
  1121.28394  0.000794941559  0.00043728741
  1143.20789  0.000776201719  0.000415858958
  1165.56055  0.000757414149  0.000395555311
  1188.3501  0.000738728733  0.000376310374
  1211.58533  0.000720314507  0.000358067336
  1235.27478  0.000702555932  0.000340621744
  1259.42761  0.000685411971  0.000323312794
  1284.05249  0.000668191526  0.000305647845
  1309.15906  0.000650186616  0.000288594194
  1334.75635  0.000632017269  0.000272506993
  1360.85413  0.00061390578  0.000257331441
  1387.46228  0.000595994527  0.000243019094
  1414.59058  0.000578384032  0.000229515019
  1442.24951  0.000561191351  0.000216774672
  1470.44897  0.000544576149  0.00020461237
  1499.19995  0.000528505538  0.000192697495
  1528.51306  0.000512462168  0.00018077498
  1558.39929  0.000496242894  0.000169510764
  1588.86987  0.000480179646  0.000158949304
  1619.93628  0.000464371959  0.000149046886
  1651.61011  0.000448876759  0.000139762924
  1683.9032  0.000433724548  0.000131059598
  1716.82776  0.000418953743  0.000122901823
  1750.396  0.000404587423  0.000115205054
  1784.62061  0.000390567584  0.000107955115
  1819.5144  0.000376898941  0.000101149264
  1855.09045  0.000363609841  9.47745721E-05
  1891.36218  0.000350704184  8.88020586E-05
  1928.34302  0.000338178739  8.32077203E-05
  1966.04688  0.000326035661  7.79663751E-05
  2004.48804  0.000314269244  7.30615866E-05
  2043.68091  0.000302915316  6.84714687E-05
  2083.63989  0.000291915319  6.41304723E-05
  2124.38037  0.0002812639  6.00605817E-05
  2165.91724  0.000270957476  5.62429086E-05
  2208.26636  0.000260989909  5.26629374E-05
  2251.4436  0.000251358229  4.93079606E-05
  2295.46484  0.000242051014  4.61600175E-05
  2340.34692  0.000233059283  4.32103116E-05
  2386.10669  0.000224376883  4.04453349E-05
  2432.76099  0.000215996071  3.78541845E-05
  2480.32764  0.000207906036  3.54253389E-05
  2528.82422  0.000200101931  3.31492374E-05
  2578.26904  0.000192572916  3.10155665E-05
  2628.68066  0.0001853094  2.90153112E-05
  2680.07788  0.000178304777  2.71420449E-05
  2732.48022  0.000171551408  2.53868802E-05
  2785.90698  0.000165041347  2.37434942E-05
  2840.37842  0.000158766605  2.22029012E-05
  2895.91504  0.000152718843  2.07594949E-05
  2952.53735  0.00014689067  1.94083023E-05
  3010.26685  0.000141275494  1.81421874E-05
  3069.125  0.000135865266  1.695637E-05
  3129.13428  0.00013065325  1.58459879E-05
  3190.31665  0.000125632272  1.48062054E-05
  3252.69531  0.000120796227  1.38327341E-05
  3316.2937  0.000116138704  1.29213886E-05
  3381.1355  0.000111652429  1.20679151E-05
  3447.24512  0.000107331973  1.12690213E-05
  3514.64746  0.000103171253  1.05213221E-05
  3583.36768  9.91642009E-05  9.82152233E-06
  3653.4314  9.53052368E-05  9.1665479E-06
  3724.86523  9.15890851E-05  8.55357939E-06
  3797.69556  8.80097286E-05  7.98002657E-06
  3871.9502  8.45621544E-05  7.44340468E-06
  3947.65649  8.12416401E-05  6.94147957E-06
  4024.84277  7.8042809E-05  6.47187107E-06
  4103.53857  7.49601968E-05  6.03257604E-06
  4183.77344  7.1989678E-05  5.6217682E-06
  4265.57666  6.91265741E-05  5.23778363E-06
  4348.979  6.63647443E-05  4.87865918E-06
  4434.0127  6.3700536E-05  4.54294013E-06
  4520.7085  6.11291325E-05  4.22915173E-06
  4609.09961  5.86434398E-05  3.93581377E-06
  4699.21924  5.62389105E-05  3.66173208E-06
  4791.10059  5.39097819E-05  3.40569909E-06
  4884.77881  5.16462933E-05  3.16649221E-06
  4980.28857  4.94379092E-05  2.94292613E-06
  5077.66504  4.72715437E-05  2.7341498E-06
  5176.94629  4.51199739E-05  2.53921485E-06
  5278.16895  4.29172651E-05  2.3571954E-06
  5381.37012  4.04685743E-05  2.18733589E-06
  5486.58936  3.44553955E-05  5.2115015E-06
  5593.86621  3.74594201E-05  4.84060592E-06
  5703.24023  3.65264823E-05  4.4961007E-06
  5814.75244  3.51185372E-05  4.17611727E-06
  5928.4458  3.30359435E-05  5.1926595E-06
  6044.36133  3.31759402E-05  4.8291181E-06
  6162.54395  3.21644657E-05  4.49097342E-06
  6283.03711  3.05017256E-05  4.74835133E-06
  6405.88623  3.02679819E-05  4.43734507E-06
  6531.13721  2.93856247E-05  4.14587794E-06
  6658.8374  2.84555917E-05  3.87263981E-06
  6789.03418  2.75162383E-05  3.61662092E-06
  6921.77734  2.65826948E-05  3.37686583E-06
  7057.11523  2.56611474E-05  3.15241482E-06
  7195.09912  2.4754836E-05  2.94229835E-06
  7335.78125  2.38664379E-05  2.74561557E-06
  7479.21436  2.29969119E-05  2.56168869E-06
  7625.45215  2.21451792E-05  2.38964549E-06
  7774.54834  2.13101594E-05  2.22880362E-06
  7926.56055  2.04863463E-05  2.0784571E-06
  8081.54492  1.96537439E-05  1.93795381E-06
  8239.55957  1.86908128E-05  1.80665893E-06
  8400.66309  1.76213944E-05  2.25897247E-06
  8564.91699  1.7608676E-05  2.10783514E-06
  8732.38184  1.70656458E-05  1.96648125E-06
  8903.12305  1.64989979E-05  1.83426187E-06
  9077.20117  1.59338961E-05  1.7106729E-06
  9254.68359  1.53773017E-05  1.59515514E-06
  9435.63574  1.48326944E-05  1.48719175E-06
  9620.125  1.43016023E-05  1.38634095E-06
  9808.22266  1.37851312E-05  1.29213038E-06
  9999.99805  1.32840323E-05  1.20416541E-06
