evaluation,objective,reflectivity_raw,reflectivity_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,top_lno_thickness,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,cap_roughness,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,reflectivity_angle_offset
2.600000000000000000e+01,4.354554003144566754e-01,4.354554003144566754e-01,4.354554003144566754e-01,1.463661999994656071e+00,1.447460199997294694e+00,0.000000000000000000e+00,4.089999129064381123e-05,1.615159999346360564e-02,1.716388201317280391e+02,1.623158374404285809e+01,1.585015814415780788e+01,2.938085291941797905e+00,1.698505307789915708e+00,2.444094082360396314e+01,4.969801438334260801e+00,2.063766551235624469e+00,3.782140526391498891e+00,4.314553638662175672e+00,4.819541433645066597e+00,2.121466429408790155e+00,3.519687824165318446e+00,2.646270076727532117e-01
2.700000000000000000e+01,1.826893533079234910e-01,1.826893533079234910e-01,1.826893533079234910e-01,1.529526400001486763e+00,1.513612400012789294e+00,0.000000000000000000e+00,6.170000415295362473e-05,1.584349997574463487e-02,2.368939027791523699e+02,1.662958104900786438e+01,1.723202638394613118e+01,1.114832236363854534e+00,2.742829079345132204e+00,2.444535139234767840e+01,2.000000000000000000e+01,4.393698873919164249e+00,3.733631450835571908e+00,4.495898609745210273e+00,2.372276260470937981e+00,2.904289662621028167e+00,4.286459882948266298e+00,-2.999999999999999889e-01
2.800000000000000000e+01,6.667251794313494573e-01,6.667251794313494573e-01,6.667251794313494573e-01,1.580945800000336021e+00,1.556966200005263090e+00,0.000000000000000000e+00,5.210001836530864239e-05,2.391829999396577477e-02,1.508341814680121615e+02,1.744425474345072047e+01,1.798520136546169468e+01,2.517565180740061415e+00,2.424450202112809760e-01,6.708583170049622346e-01,9.759889373091702680e+00,4.630258114929036495e+00,4.605219681352879846e+00,3.716593003705530140e+00,2.658833123117212427e+00,3.948498584827526692e+00,2.233617288242309762e+00,-2.999999999999999889e-01
2.900000000000000000e+01,3.417774001578205989e-01,3.417774001578205989e-01,3.417774001578205989e-01,1.543374200002290308e+00,1.521585000009508803e+00,0.000000000000000000e+00,4.839999019168317318e-05,2.173179999226704240e-02,1.799813754930898142e+02,1.625131412085399774e+01,1.616724597320988366e+01,1.608830128327213060e+00,2.944069896375860029e+00,1.113673859612958772e+01,2.000000000000000000e+01,1.846236533070766628e+00,3.875766737125011296e+00,4.543282091725291849e+00,2.604049301905536851e+00,2.319205846364890800e+00,3.662726740535071634e+00,8.194795565188656150e-02
3.000000000000000000e+01,3.773539831507521924e-01,3.773539831507521924e-01,3.773539831507521924e-01,1.474993900017580017e+00,1.459411399991950020e+00,0.000000000000000000e+00,4.750001244246959686e-05,1.552370001445524395e-02,1.888469338689586152e+02,1.728341137331577926e+01,1.737456393252131903e+01,2.294048037070429480e+00,5.356618039080673910e-01,3.393746117118985239e+01,1.534788564691045565e+01,4.086255309494996268e+00,3.873470423315056532e+00,2.850500630271302960e+00,2.673752089402734455e+00,2.049722961370282537e+00,3.626217440623046073e+00,-2.999999999999999889e-01
3.100000000000000000e+01,5.033381867620654315e-01,5.033381867620654315e-01,5.033381867620654315e-01,1.459998499980429187e+00,1.435972399980528280e+00,0.000000000000000000e+00,4.750001244246959686e-05,2.396289998432621360e-02,2.122193845149670892e+02,1.500071466935166242e+01,1.587036819526079867e+01,3.000000000000000000e+00,1.993464080593364551e-01,0.000000000000000000e+00,1.117857440248272383e+01,4.032903547208184669e+00,4.509709460819283144e+00,4.926872003067015449e+00,5.000000000000000000e+00,4.706626747457793414e+00,1.920123916039308654e+00,6.702456649919208420e-02
3.200000000000000000e+01,1.045487849564602945e+00,1.045487849564602945e+00,1.045487849564602945e+00,1.455869299999903888e+00,1.442528999992646277e+00,0.000000000000000000e+00,5.219999002292752266e-05,1.327820000005885959e-02,2.089065704353297122e+02,1.610235229131439283e+01,1.584889938660332831e+01,2.323156274032391444e+00,1.374373328303539754e+00,3.900000000000000000e+01,1.655504552797090767e+01,1.139491563261724405e+00,3.789896495319524661e+00,2.703093003565875119e+00,5.000000000000000000e+00,3.596490291754143698e+00,4.505628623659581500e+00,-2.999999999999999889e-01
3.300000000000000000e+01,9.229693354250896320e-01,9.229693354250896320e-01,9.229693354250896320e-01,1.466600200015818700e+00,1.453758700023172423e+00,0.000000000000000000e+00,4.449998959898948669e-05,1.278640000964514911e-02,2.384469030745810869e+02,1.638044785001155645e+01,1.478959656012484913e+01,1.502725417638921979e+00,7.004126310439084957e-01,3.102680654466714572e+01,1.354195138040072521e+01,5.000000000000000000e+00,3.887968303998421860e+00,4.646488724286981231e+00,3.494891293076238803e+00,2.770889450450333413e+00,1.867098025058532063e+00,1.211203093929561492e-01
3.400000000000000000e+01,7.046468266744552178e-01,7.046468266744552178e-01,7.046468266744552178e-01,1.572138600022299215e+00,1.552282899996498600e+00,0.000000000000000000e+00,3.860000288113951683e-05,1.980600002571009099e-02,1.791397842935620588e+02,1.600683197883515163e+01,1.611059674681288811e+01,3.000000000000000000e+00,2.867980068512073988e+00,0.000000000000000000e+00,1.955600872610180119e+01,5.000000000000000000e+00,3.924251333424071841e+00,2.819804622880681233e+00,2.969006694035071448e+00,4.457197110195896705e+00,2.088377718223881629e+00,2.163800763999896293e-01
3.500000000000000000e+01,7.407022180569283742e-01,7.407022180569283742e-01,7.407022180569283742e-01,1.501364900002954528e+00,1.487819099973421544e+00,0.000000000000000000e+00,5.200001760385930538e-05,1.348190000862814486e-02,2.240306423556604045e+02,1.590911093767713425e+01,1.547844728892157384e+01,1.085170377476730064e+00,7.044551626601559535e-01,0.000000000000000000e+00,1.448955532649688394e+01,1.813684012015042368e+00,3.658106692300868268e+00,3.645711862447141183e+00,3.201781482527009004e+00,3.875974437431301212e+00,1.999293749067083681e+00,-2.999999999999999889e-01
