evaluation,objective,C 1s_raw,La 4d_raw,Ni 3p_raw,C 1s_weighted,La 4d_weighted,Ni 3p_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,top_lno_thickness,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,cap_roughness,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,rc_angle_offset
2.100000000000000000e+01,2.264226580919782503e-02,1.265165769753412439e-02,2.294918135987751833e-03,3.143894184155835922e-03,6.325828848767062196e-03,6.884754407963255066e-03,9.431682552467507766e-03,7.088256299990462139e+00,0.000000000000000000e+00,7.008068900002399459e+00,9.640000644139945507e-05,8.006509998813271523e-02,2.399890473263801880e+02,1.344646324452453889e+01,1.695789673633452921e+01,1.614306234139819107e+00,2.868428900716008201e+00,1.186732540101244349e-01,1.450548909177290646e+01,3.934648764758550410e+00,2.527468398434151275e+00,3.650740562498836717e+00,4.930332696631860578e+00,3.997732431579010814e+00,1.657582160992501663e+00,1.196434284257429370e-01
2.200000000000000000e+01,1.703342510327551101e-02,7.863137098228133171e-03,1.921442337685267104e-03,2.445843180368548284e-03,3.931568549114066585e-03,5.764327013055800877e-03,7.337529541105645287e-03,7.171406699984800071e+00,0.000000000000000000e+00,7.095549799996661022e+00,7.680000271648168564e-05,7.576170001993887126e-02,2.008231387873599658e+02,1.741008149559400664e+01,1.435241724172227329e+01,2.425983723729448482e-01,1.264182741194065152e+00,1.474816348906516161e+01,1.155171708805218955e+01,2.490951772444004675e+00,3.860012039852051213e+00,2.558510729836521058e+00,2.690981217680478377e+00,4.848802497596223837e+00,2.959135190028648221e+00,1.017383879876744834e-01
2.300000000000000000e+01,2.254802808352449756e-02,1.123412122330926140e-02,2.469300356633762680e-03,3.174355467322859895e-03,5.617060611654630699e-03,7.407901069901287605e-03,9.523066401968580119e-03,7.419610000011743978e+00,0.000000000000000000e+00,7.338392400008160621e+00,6.419999408535659313e-05,8.113720000255852938e-02,1.596649524879869091e+02,1.601389835748881296e+01,1.779673330533897868e+01,3.205225304318569668e-01,2.081093188473337907e+00,1.243877458967922323e+01,1.211250900175610745e+01,2.858413620478335471e+00,3.890634710710093813e+00,4.747561207409351169e+00,4.576226349993830489e+00,3.379826618261603688e+00,2.262936620432944856e+00,1.707080017694654894e-01
2.400000000000000000e+01,1.145491759046778600e-02,6.561838290134145400e-03,1.091587141584243661e-03,1.633079006882660845e-03,3.280919145067072700e-03,3.274761424752730982e-03,4.899237020647982319e-03,6.863142899994272739e+00,0.000000000000000000e+00,6.794972400006372482e+00,1.309000072069466114e-04,6.802429998060688376e-02,2.210908886154668949e+02,1.563428695702507554e+01,1.445631801483433954e+01,3.048335722935393566e-01,1.747635649760626908e+00,8.332069294252525404e-01,3.548762424046771891e+00,4.376643255624268036e+00,2.045288416455205649e+00,3.334455288745715063e+00,3.036584732684788790e+00,2.364415134893933956e+00,1.195095378389201990e+00,3.267580335529590707e-02
2.500000000000000000e+01,1.201960474288164653e-02,5.963696966051552223e-03,1.269668077065185452e-03,1.742917342886771354e-03,2.981848483025776111e-03,3.809004231195556138e-03,5.228752028660314279e-03,6.853929499979130924e+00,0.000000000000000000e+00,6.683460300002479926e+00,6.890000076964497566e-05,1.703854000079445541e-01,1.962050369595173436e+02,1.612953694993138498e+01,1.504681505678749076e+01,2.587230474355080467e+00,2.641691272488329911e+00,2.063930806821317177e+01,1.404073928553963668e+01,4.650200527229940484e+00,3.184029560199698849e+00,4.533051778332586323e+00,3.049213472962962079e+00,2.282736390660018877e+00,1.870632381579242276e+00,2.461900561042826285e-01
2.600000000000000000e+01,1.230476394438527465e-02,6.298338736651593571e-03,1.255457620813643519e-03,1.796407237872849321e-03,3.149169368325796785e-03,3.766372862440930773e-03,5.389221713618547530e-03,7.061003999988315627e+00,0.000000000000000000e+00,6.971187499992083758e+00,1.015999878291040659e-04,8.969920000527054071e-02,1.851767748434859868e+02,1.727982986363717188e+01,1.412530850487593703e+01,1.190744245125090750e-01,2.492631999280172650e+00,4.739724550491579702e-01,1.935618022350069012e+01,2.272625206466478254e+00,4.408995228381358267e+00,2.630049585903690534e+00,4.972405680019431173e+00,4.627080054374646423e+00,1.650968097553830116e+00,-5.935637267149290741e-02
2.700000000000000000e+01,8.868330202875666576e-03,3.494090982962245497e-03,9.335283867239542758e-04,1.440233183740893558e-03,1.747045491481122748e-03,2.800585160171862719e-03,4.320699551222681109e-03,6.735786099976394325e+00,0.000000000000000000e+00,6.664893399982247502e+00,1.155000063590705395e-04,7.076010000309906900e-02,1.604203351374771671e+02,1.595804212329929683e+01,1.396555815581330506e+01,1.692236235957340629e+00,2.764063881647101373e-01,1.601773948055653207e+01,1.059102697879099964e+01,1.246929092287004881e+00,2.903159043961649921e+00,2.608340309141249591e+00,2.094728189872487434e+00,4.950275871824546314e+00,3.060879480758551097e+00,-1.251779041275904170e-01
2.800000000000000000e+01,8.631939353121613479e-03,3.336100362859242049e-03,8.978400437955003305e-04,1.423456346768496973e-03,1.668050181429621024e-03,2.693520131386501100e-03,4.270369040305491137e-03,6.319313499989220873e+00,0.000000000000000000e+00,6.253723799978615716e+00,7.119998917914927006e-05,6.550020002759993076e-02,1.531042134789021532e+02,1.367119029536807595e+01,1.300000000000000000e+01,1.095881558378859477e+00,2.477235671046916554e+00,3.758312366499276802e+00,9.690331174851582574e+00,2.690480066027645556e+00,2.082918094720338953e+00,4.444622811982876343e+00,2.055605943498959753e+00,3.866933758897900475e+00,3.635212955337468799e+00,-1.977553970213896672e-01
2.900000000000000000e+01,1.562892499327801082e-02,9.055726728464363537e-03,1.508667167132814310e-03,2.191686709215795881e-03,4.527863364232181768e-03,4.526001501398442713e-03,6.575060127647388078e-03,7.594944100012071431e+00,0.000000000000000000e+00,7.525766499980818480e+00,9.409998892806470394e-05,6.906300000264309347e-02,2.494738236357487722e+02,1.833933123760029105e+01,1.444651967054748987e+01,1.014847471021749215e+00,1.837527086845044400e+00,1.429061020632669532e+01,3.494651060236672713e+00,2.976652839930245875e+00,3.385538709380113254e+00,2.234735905425589753e+00,3.068021469801240464e+00,3.939706165998733134e+00,2.896404108143727285e+00,-1.855943130069537261e-03
3.000000000000000000e+01,2.212587066458392149e-02,1.024976376232216227e-02,2.539053641829729438e-03,3.127942619311217202e-03,5.124881881161081135e-03,7.617160925489188314e-03,9.383827857933652039e-03,7.476827800011960790e+00,0.000000000000000000e+00,7.413279900007182732e+00,1.114000042434781790e-04,6.341790000442415476e-02,2.316284085180537886e+02,1.842435182918654846e+01,1.796888861073003696e+01,9.888592524581272247e-01,1.506382523003952922e+00,2.126858645312401563e+01,1.886692662537527099e+01,2.322050865541746667e+00,3.684727819493556211e+00,2.977455800933817898e+00,2.490553344118918488e+00,2.275579557091771843e+00,2.968145482230825749e+00,-1.888217603208940942e-01
