evaluation,objective,C 1s_raw,La 4d_raw,Ni 3p_raw,C 1s_weighted,La 4d_weighted,Ni 3p_weighted,objective_total_seconds,reflectivity_simulation_seconds,rocking_curve_simulation_seconds,scoring_seconds,stack_seconds,carbon_thickness,carbon_roughness,sto_thickness_start,lno_thickness_start,sto_thickness_delta,lno_thickness_delta,thickness_transition_repeat,thickness_transition_width,cap_roughness,sto_roughness_first,sto_roughness_last,lno_roughness_first,lno_roughness_last,substrate_roughness,rc_angle_offset
2.300000000000000000e+01,1.791293869495286586e-02,5.770028773349265665e-03,2.068382694423707459e-03,2.940925408335702974e-03,2.885014386674632832e-03,6.205148083271122376e-03,8.822776225007109355e-03,1.722743499994976446e+00,0.000000000000000000e+00,1.705870500009041280e+00,3.309999010525643826e-05,1.682940000318922102e-02,1.357279741873188073e+01,1.592636896996000306e+00,1.468248683199049331e+01,1.606599194203644032e+01,1.687205900491036470e+00,8.095216309729738602e-02,3.277441263658671744e+01,1.866470142881749439e+01,2.424792967063934768e+00,3.823110179414207721e+00,2.911260946928034166e+00,3.128451988232169967e+00,3.589225051347085138e+00,1.034284814229927907e+00,2.875983450504621675e-01
2.400000000000000000e+01,2.246386941925987424e-02,1.234621518824752934e-02,2.209229700361295054e-03,3.221024241350741325e-03,6.173107594123764669e-03,6.627689101083885162e-03,9.663072724052224408e-03,1.818092899979092181e+00,0.000000000000000000e+00,1.801486499985912815e+00,3.619998460635542870e-05,1.655810000374913216e-02,5.602983771519678413e+00,1.069455787899478594e+00,1.484165680093811623e+01,1.713171047128181002e+01,8.447319894546065910e-01,2.021492206073671749e+00,1.078244380547795522e+01,1.191531589593457241e+01,3.182679992340601949e+00,4.593443990231998342e+00,2.329994635131452885e+00,4.849115099857174371e+00,2.426332489449591456e+00,1.449766251244207105e+00,-5.650396142299768387e-02
2.500000000000000000e+01,1.216676910737301415e-02,7.056398428410716808e-03,1.026973203136523479e-03,1.852550094586028579e-03,3.528199214205358404e-03,3.080919609409570221e-03,5.557650283758085522e-03,1.945474099979037419e+00,0.000000000000000000e+00,1.921948899980634451e+00,2.249999670311808586e-05,2.349150000372901559e-02,1.495024713846926190e+01,1.342090415139418402e+00,1.726514214215502108e+01,1.681404940154024885e+01,3.773871915266868715e-01,5.217414838206638761e-01,6.920958804891087723e+00,9.032524707268605013e+00,4.793027091664971095e+00,3.878542224310113529e+00,2.077527371511927345e+00,2.959715454682929625e+00,2.936478964853520779e+00,2.864127948118746048e+00,1.761717036595416563e-01
2.600000000000000000e+01,1.774286090303926061e-02,8.584825342152517177e-03,1.655944454659589397e-03,2.827538289328078089e-03,4.292412671076258589e-03,4.967833363978768624e-03,8.482614867984234266e-03,1.788445100013632327e+00,0.000000000000000000e+00,1.774022300000069663e+00,1.297999988310039043e-04,1.428209998994134367e-02,6.196661843682695014e+00,1.520128060822866889e+00,1.607321408780279981e+01,1.320632157581007604e+01,1.551634197445329821e+00,1.660838219841063168e+00,2.720096310027561515e+01,1.000130221325195556e+01,1.230414185666058202e+00,2.413669758761325390e+00,2.813393634905761331e+00,2.065774855977789315e+00,2.477634473419012107e+00,1.883542292975094012e+00,2.838744372806024097e-01
2.700000000000000000e+01,2.132421006386428508e-02,1.222556700571990861e-02,2.262095927110692028e-03,2.808379593224085043e-03,6.112783502859954303e-03,6.786287781332075650e-03,8.425138779672255995e-03,1.839817300002323464e+00,0.000000000000000000e+00,1.820252100005745888e+00,3.350002225488424301e-05,1.951079998980276287e-02,6.331322605304052331e+00,2.146596214755954080e+00,1.661678299636015055e+01,1.554339059759361419e+01,2.845757713586650972e+00,4.334964115032292620e-01,3.368056414282104072e+01,5.929707728363543318e+00,4.976872895777962214e+00,3.336549757221423107e+00,4.315378554034197123e+00,3.395804208891710640e+00,3.758829240390116677e+00,3.025929422616369546e+00,2.215230322916171279e-01
2.800000000000000000e+01,1.061054015496011929e-02,4.329191190967808002e-03,1.047878576851880633e-03,1.767436276306858086e-03,2.164595595483904001e-03,3.143635730555641682e-03,5.302308828920574042e-03,2.117426999990129843e+00,0.000000000000000000e+00,2.088551299995742738e+00,2.889998722821474075e-05,2.883679998922161758e-02,1.472514329852381110e+01,2.153371507786805417e+00,1.769335959647565915e+01,1.838869634043418699e+01,3.183094428129751990e-02,2.682496223112405875e+00,1.303973514401547007e+01,1.288864584821970105e+01,2.951342183025786881e+00,4.588913082069050908e+00,2.905264940672853680e+00,4.606703578312084879e+00,2.067305225257468848e+00,4.595997061581908127e+00,-9.766320730095615077e-02
2.900000000000000000e+01,1.929486954850007097e-02,9.105624811690551240e-03,1.836360858045859830e-03,3.077658189505738402e-03,4.552812405845275620e-03,5.509082574137579708e-03,9.232974568517215638e-03,4.393175999983213842e+00,0.000000000000000000e+00,4.369572800002060831e+00,7.180002285167574883e-05,2.352129999781027436e-02,8.856360712567202143e+00,1.696568993950698268e+00,1.482164165073493045e+01,1.491390825127379216e+01,1.860791226650213126e+00,6.707550120704319774e-01,8.005839098946141430e-01,1.406152148514226141e+01,2.318887733404130458e+00,4.379847916969868749e+00,4.349181041238691314e+00,4.897140030412083789e+00,3.595771071103403660e+00,2.854739994504335243e+00,2.399190940130930261e-01
3.000000000000000000e+01,1.416917683941519047e-02,6.753870340397544712e-03,1.271394890036082505e-03,2.326018999702723390e-03,3.376935170198772356e-03,3.814184670108247514e-03,6.978056999108170171e-03,5.798327500000596046e+00,0.000000000000000000e+00,5.757000100013101473e+00,7.740000728517770767e-05,4.123090000939555466e-02,1.328340189737922294e+01,1.955687731123386452e+00,1.532892823718633402e+01,1.524149563470558810e+01,1.263402187206951410e+00,2.663224468681521628e+00,3.072211462945504223e+01,6.129293894946528987e+00,4.650452226179266013e+00,4.559450915260386594e+00,3.514932405760127665e+00,4.778999775494471081e+00,2.888768276998362250e+00,1.955821454349949251e+00,1.187349717202464960e-01
3.100000000000000000e+01,1.664106319602040931e-02,8.571578132313970380e-03,1.615255121269246500e-03,2.503169588685228136e-03,4.285789066156985190e-03,4.845765363807739284e-03,7.509508766055683973e-03,5.793791699979919940e+00,0.000000000000000000e+00,5.737292400008300319e+00,4.780001472681760788e-05,5.642850001459009945e-02,8.385338400514285695e+00,2.829303962992003818e+00,1.729419773009376726e+01,1.323947259859718173e+01,1.977534618573916214e+00,1.565714772365866536e-01,2.517716792196072362e+01,1.026169746490308832e+01,4.598693030621273437e+00,4.774048381015507658e+00,2.844660557374883769e+00,4.429894704861464305e+00,2.374872744853207873e+00,4.699123496754776141e+00,2.106620506074978194e-01
3.200000000000000000e+01,1.792584021448947323e-02,8.837121457322029069e-03,1.730134093064590465e-03,2.772292402211561785e-03,4.418560728661014535e-03,5.190402279193771611e-03,8.316877206634685354e-03,6.109809000015957281e+00,0.000000000000000000e+00,6.049900400015758350e+00,7.080001523718237877e-05,5.982329999096691608e-02,8.480220520151972252e+00,2.404200586506393122e+00,1.684789983810477310e+01,1.311045656810819438e+01,8.888666701606266068e-03,1.062004411711184426e+00,1.120103478388336882e+01,1.652099724472599718e+01,1.358448047828372029e+00,2.520337826108999923e+00,3.861030890722163100e+00,4.799987602521574637e+00,3.637502765225624657e+00,3.613299668017624366e+00,1.534348645882168682e-01
