dataset,angle_deg,calculation_angle_deg,experimental,fitted
C 1s,13.5,13.797434551259379,0.9687418883610112,1.0080296102709136
C 1s,13.54,13.837434551259378,0.9302801540628944,0.9453921914931132
C 1s,13.58,13.877434551259379,0.8753505022763066,0.8744200003262989
C 1s,13.620000000000001,13.91743455125938,0.8412694511185124,0.8172064285566883
C 1s,13.66,13.957434551259379,0.7746862781545198,0.7928169876893334
C 1s,13.7,13.997434551259378,0.7744337426131565,0.8090836237540235
C 1s,13.74,14.037434551259379,0.8180872206531226,0.8594233074993343
C 1s,13.780000000000001,14.07743455125938,0.9153243406065606,0.9259762870081344
C 1s,13.82,14.117434551259379,0.9631712373582229,0.9874164319595926
C 1s,13.86,14.157434551259378,1.0162824319756323,1.027750795929788
C 1s,13.9,14.197434551259379,1.0333527343408253,1.0420794147643344
C 1s,13.94,14.237434551259378,1.0043967312592146,1.0368004174702363
C 1s,13.98,14.277434551259379,0.9639239141070812,1.0245450208209186
C 1s,14.02,14.317434551259378,0.9313258545443382,1.0168549393540944
C 1s,14.06,14.357434551259379,0.894286649280768,1.0186661059674003
C 1s,14.1,14.397434551259378,0.9219893605926356,1.0273081872379748
C 1s,14.14,14.43743455125938,0.8929946996213853,1.0358642457024498
C 1s,14.18,14.477434551259378,0.9545521804757892,1.038278523336226
C 1s,14.22,14.51743455125938,0.9972057455942022,1.0330081954710493
C 1s,14.26,14.557434551259378,0.9443411023414566,1.0233485845245411
C 1s,14.3,14.59743455125938,0.937633564324399,1.014753559008269
C 1s,14.34,14.637434551259378,0.9304635349878868,1.0111806622716388
C 1s,14.38,14.67743455125938,0.9614358796760053,1.0128171454355812
C 1s,14.42,14.717434551259378,0.940066157557865,1.0164318884700012
C 1s,14.46,14.75743455125938,0.9518463181077714,1.0178380846641248
C 1s,14.5,14.797434551259379,0.969719317513982,1.0146893446423566
C 1s,14.540000000000001,14.83743455125938,1.0188389447967983,1.0078125570948768
C 1s,14.58,14.877434551259379,1.017015182194012,1.0003859101924557
C 1s,14.620000000000001,14.91743455125938,0.9540982128275755,0.9956918830452185
C 1s,14.66,14.957434551259379,0.9641963407521396,0.9950037022071836
C 1s,14.7,14.997434551259378,1.011053490579006,0.9969428944718273
C 1s,14.74,15.037434551259379,1.034390521503675,0.9985978650130972
Ni 3p,12.42,12.717434551259378,0.9998961192713207,0.9939346658332738
Ni 3p,12.459999999999999,12.757434551259378,0.993680487027714,0.9917845365648786
Ni 3p,12.5,12.797434551259379,1.0032238496491244,0.9904880654859365
Ni 3p,12.54,12.837434551259378,1.0028774502765192,0.990558127798369
Ni 3p,12.58,12.877434551259379,0.9931327278662725,0.9916095603334283
Ni 3p,12.62,12.917434551259378,1.007881135056079,0.9925833858033617
Ni 3p,12.66,12.957434551259379,1.0137278435505395,0.9924672859804579
Ni 3p,12.7,12.997434551259378,1.0206688384100762,0.9910338597784643
Ni 3p,12.74,13.037434551259379,1.021428869654467,0.9890717233883722
Ni 3p,12.78,13.077434551259378,1.0133082573647916,0.9879054192724788
Ni 3p,12.82,13.117434551259379,1.017773953086091,0.9884909922124762
Ni 3p,12.86,13.157434551259378,0.99913885465163,0.9906989957897041
Ni 3p,12.9,13.197434551259379,1.0179540121297195,0.993312416902493
Ni 3p,12.94,13.237434551259378,1.0359981696084477,0.9948059313439944
Ni 3p,12.98,13.277434551259379,1.0410646556086327,0.9944294771369839
Ni 3p,13.02,13.317434551259378,1.0275963074891301,0.9928575418808832
