layer_index,material,thickness_A,roughness_A,delta,beta
26,LNO,18.39754626022522,4.412404120197484,0.0007937549662894281,0.0002923390475370646
27,STO,13.700411522017118,4.329554594138191,0.0012943223827566147,0.0004431665726682084
28,LNO,18.397554033290415,4.353673962497377,0.0007937549662894281,0.0002923390475370646
29,STO,13.700419787784542,4.268631735515436,0.0012943223827566147,0.0004431665726682084
30,LNO,18.3975622376774,4.29494380479727,0.0007937549662894281,0.0002923390475370646
31,STO,13.700428449175842,4.207708876892682,0.0012943223827566147,0.0004431665726682084
32,LNO,18.397570834750418,4.236213647097162,0.0007937549662894281,0.0002923390475370646
33,STO,13.700437459549235,4.1467860182699265,0.0012943223827566147,0.0004431665726682084
34,LNO,18.397579778214034,4.177483489397054,0.0007937549662894281,0.0002923390475370646
35,STO,13.700446765238983,4.085863159647173,0.0012943223827566147,0.0004431665726682084
36,LNO,18.397589014801028,4.118753331696947,0.0007937549662894281,0.0002923390475370646
37,STO,13.700456306482948,4.024940301024418,0.0012943223827566147,0.0004431665726682084
38,LNO,18.397598485193047,4.060023173996839,0.0007937549662894281,0.0002923390475370646
39,STO,13.700466018559204,3.964017442401663,0.0012943223827566147,0.0004431665726682084
40,LNO,18.39760812514878,4.0012930162967315,0.0007937549662894281,0.0002923390475370646
41,STO,13.700475833096235,3.903094583778908,0.0012943223827566147,0.0004431665726682084
42,LNO,18.397617866804428,3.9425628585966237,0.0007937549662894281,0.0002923390475370646
43,STO,13.700485679512765,3.8421717251561534,0.0012943223827566147,0.0004431665726682084
44,LNO,18.39762764010284,3.883832700896516,0.0007937549662894281,0.0002923390475370646
45,STO,13.70049548653682,3.781248866533399,0.0012943223827566147,0.0004431665726682084
46,LNO,18.397637374301304,3.825102543196409,0.0007937549662894281,0.0002923390475370646
47,STO,13.70050518374968,3.7203260079106446,0.0012943223827566147,0.0004431665726682084
48,LNO,18.397646999504012,3.766372385496301,0.0007937549662894281,0.0002923390475370646
49,STO,13.700514703099099,3.65940314928789,0.0012943223827566147,0.0004431665726682084
50,LNO,18.39765644816407,3.7076422277961933,0.0007937549662894281,0.0002923390475370646
51,STO,13.700523980327722,3.598480290665135,0.0012943223827566147,0.0004431665726682084
52,LNO,18.39766565650129,3.6489120700960855,0.0007937549662894281,0.0002923390475370646
53,STO,13.700532956266905,3.53755743204238,0.0012943223827566147,0.0004431665726682084
54,LNO,18.3976745657864,3.5901819123959777,0.0007937549662894281,0.0002923390475370646
55,STO,13.70054157795276,3.4766345734196253,0.0012943223827566147,0.0004431665726682084
56,LNO,18.397683123448818,3.531451754695871,0.0007937549662894281,0.0002923390475370646
57,STO,13.70054979952996,3.4157117147968714,0.0012943223827566147,0.0004431665726682084
58,LNO,18.39769128397373,3.472721596995763,0.0007937549662894281,0.0002923390475370646
59,STO,13.70055758291893,3.3547888561741166,0.0012943223827566147,0.0004431665726682084
60,LNO,18.39769900956434,3.413991439295655,0.0007937549662894281,0.0002923390475370646
61,STO,13.700564898233079,3.293865997551362,0.0012943223827566147,0.0004431665726682084
62,LNO,18.397706270555986,3.355261281595548,0.0007937549662894281,0.0002923390475370646
63,STO,13.7005717239438,3.232943138928607,0.0012943223827566147,0.0004431665726682084
64,LNO,18.397713045579934,3.29653112389544,0.0007937549662894281,0.0002923390475370646
65,STO,13.700578046801779,3.172020280305852,0.0012943223827566147,0.0004431665726682084
66,LNO,18.397719321485248,3.2378009661953326,0.0007937549662894281,0.0002923390475370646
67,STO,13.700583861532746,3.111097421683098,0.0012943223827566147,0.0004431665726682084
68,LNO,18.397725093036836,3.1790708084952253,0.0007937549662894281,0.0002923390475370646
69,STO,13.700589170334103,3.0501745630603434,0.0012943223827566147,0.0004431665726682084
70,LNO,18.397730362415775,3.1203406507951175,0.0007937549662894281,0.0002923390475370646
71,STO,13.7005939822051,2.9892517044375886,0.0012943223827566147,0.0004431665726682084
72,LNO,18.397735138554488,3.06161049309501,0.0007937549662894281,0.0002923390475370646
73,STO,13.700598312147568,2.9283288458148338,0.0012943223827566147,0.0004431665726682084
74,LNO,18.397739436343407,3.0028803353949023,0.0007937549662894281,0.0002923390475370646
75,STO,13.700602180276366,2.867405987192079,0.0012943223827566147,0.0004431665726682084
76,LNO,18.397743275748024,2.9441501776947945,0.0007937549662894281,0.0002923390475370646
77,STO,13.700605610878688,2.806483128569324,0.0012943223827566147,0.0004431665726682084
78,LNO,18.39774668087517,2.885420019994687,0.0007937549662894281,0.0002923390475370646
79,STO,13.700608631459628,2.74556026994657,0.0012943223827566147,0.0004431665726682084
80,LNO,18.397749679025694,2.8266898622945793,0.0007937549662894281,0.0002923390475370646
81,STO,13.700611271807974,2.6846374113238154,0.0012943223827566147,0.0004431665726682084
82,LNO,18.397752299767184,2.767959704594472,0.0007937549662894281,0.0002923390475370646
83,STO,13.700613563111522,2.6237145527010606,0.0012943223827566147,0.0004431665726682084
84,LNO,18.397754574055835,2.709229546894364,0.0007937549662894281,0.0002923390475370646
85,STO,0.0,3.963578042387084,0.0012943223827566147,0.0004431665726682084
