depth_A,La,Ni,C
6.899981299498695,1.0,1.0,0.0
6.999981028476937,1.0,1.0,0.0
7.099980757455179,1.0,1.0,0.0
7.199980486433421,1.0,1.0,0.0
7.299980215411662,1.0,1.0,0.0
7.399979944389905,1.0,1.0,0.0
7.499979673368147,1.0,1.0,0.0
7.5999794023463885,1.0,1.0,0.0
7.69997913132463,1.0,1.0,0.0
7.799978860302873,1.0,1.0,0.0
7.8999785892811145,1.0,1.0,0.0
7.999978318259356,1.0,1.0,0.0
8.099978047237599,1.0,1.0,0.0
8.19997777621584,1.0,1.0,0.0
8.299977505194082,1.0,1.0,0.0
8.399977234172324,1.0,1.0,0.0
8.499976963150566,1.0,1.0,0.0
8.599976692128807,1.0,1.0,0.0
8.699976421107051,1.0,1.0,0.0
8.799976150085293,1.0,1.0,0.0
8.899975879063534,1.0,1.0,0.0
8.999975608041776,1.0,1.0,0.0
9.099975337020018,1.0,1.0,0.0
9.19997506599826,1.0,1.0,0.0
9.299974794976501,1.0,1.0,0.0
9.399974523954743,1.0,1.0,0.0
9.499974252932986,1.0,1.0,0.0
9.599973981911228,1.0,1.0,0.0
9.69997371088947,1.0,1.0,0.0
9.799973439867712,1.0,1.0,0.0
9.899973168845953,1.0,1.0,0.0
9.999972897824195,1.0,1.0,0.0
10.099972626802437,1.0,1.0,0.0
10.19997235578068,1.0,1.0,0.0
10.299972084758922,1.0,1.0,0.0
10.399971813737164,1.0,1.0,0.0
10.499971542715405,1.0,1.0,0.0
10.599971271693647,1.0,1.0,0.0
10.699971000671889,1.0,1.0,0.0
10.79997072965013,1.0,1.0,0.0
10.899970458628372,1.0,1.0,0.0
10.999970187606616,1.0,1.0,0.0
11.099969916584858,1.0,1.0,0.0
11.1999696455631,1.0,1.0,0.0
11.299969374541341,1.0,1.0,0.0
11.399969103519583,1.0,1.0,0.0
11.499968832497824,1.0,1.0,0.0
11.599968561476066,1.0,1.0,0.0
11.69996829045431,1.0,1.0,0.0
11.799968019432551,1.0,1.0,0.0
11.899967748410793,1.0,1.0,0.0
11.999967477389035,1.0,1.0,0.0
12.099967206367277,1.0,1.0,0.0
12.199966935345518,1.0,1.0,0.0
12.29996666432376,1.0,1.0,0.0
12.399966393302002,1.0,1.0,0.0
12.499966122280245,1.0,1.0,0.0
12.599965851258487,1.0,1.0,0.0
12.699965580236729,1.0,1.0,0.0
12.79996530921497,1.0,1.0,0.0
12.899965038193212,1.0,1.0,0.0
12.999964767171454,1.0,1.0,0.0
13.099964496149695,1.0,1.0,0.0
13.199964225127939,1.0,1.0,0.0
13.29996395410618,1.0,1.0,0.0
13.399963683084422,1.0,1.0,0.0
13.499963412062664,1.0,1.0,0.0
13.599963141040906,1.0,1.0,0.0
13.699962870019148,1.0,1.0,0.0
13.79996259899739,1.0,1.0,0.0
13.899962327975631,1.0,1.0,0.0
13.999962056953875,1.0,1.0,0.0
14.099961785932116,1.0,1.0,0.0
14.199961514910358,1.0,1.0,0.0
14.2999612438886,1.0,1.0,0.0
14.399960972866841,1.0,1.0,0.0
14.499960701845083,1.0,1.0,0.0
14.599960430823325,1.0,1.0,0.0
14.699960159801568,1.0,1.0,0.0
14.79995988877981,1.0,1.0,0.0
14.899959617758052,1.0,1.0,0.0
14.999959346736293,1.0,1.0,0.0
15.099959075714535,1.0,1.0,0.0
15.199958804692777,1.0,1.0,0.0
15.299958533671019,1.0,1.0,0.0
15.39995826264926,1.0,1.0,0.0
15.499957991627504,1.0,1.0,0.0
15.599957720605746,1.0,1.0,0.0
15.699957449583987,1.0,1.0,0.0
15.799957178562229,1.0,1.0,0.0
15.89995690754047,1.0,1.0,0.0
15.999956636518712,1.0,1.0,0.0
16.099956365496954,1.0,1.0,0.0
16.199956094475198,1.0,1.0,0.0
16.299955823453438,1.0,1.0,0.0
16.39995555243168,1.0,1.0,0.0
16.49995528140992,1.0,1.0,0.0
16.599955010388165,1.0,1.0,0.0
16.699954739366408,1.0,1.0,0.0
16.799954468344648,1.0,1.0,0.0
16.89995419732289,1.0,1.0,0.0
16.99995392630113,1.0,1.0,0.0
17.099953655279375,1.0,1.0,0.0
17.199953384257615,1.0,1.0,0.0
17.29995311323586,1.0,1.0,0.0
17.399952842214102,1.0,1.0,0.0
17.499952571192342,1.0,1.0,0.0
17.599952300170585,1.0,1.0,0.0
17.699952029148825,1.0,1.0,0.0
17.79995175812707,1.0,1.0,0.0
17.89995148710531,1.0,1.0,0.0
17.999951216083552,1.0,1.0,0.0
18.099950945061796,1.0,1.0,0.0
18.199950674040036,1.0,1.0,0.0
18.29995040301828,1.0,1.0,0.0
18.39995013199652,1.0,1.0,0.0
18.499949860974763,1.0,1.0,0.0
18.599949589953003,1.0,1.0,0.0
18.699949318931246,1.0,1.0,0.0
18.799949047909486,1.0,1.0,0.0
18.89994877688773,1.0,1.0,0.0
18.999948505865973,1.0,1.0,0.0
19.099948234844213,1.0,1.0,0.0
19.199947963822456,1.0,1.0,0.0
19.299947692800696,1.0,1.0,0.0
19.39994742177894,1.0,1.0,0.0
19.49994715075718,1.0,1.0,0.0
19.599946879735423,1.0,1.0,0.0
19.699946608713667,1.0,1.0,0.0
19.799946337691907,1.0,1.0,0.0
19.89994606667015,1.0,1.0,0.0
19.99994579564839,1.0,1.0,0.0
20.099945524626634,1.0,1.0,0.0
20.199945253604874,1.0,1.0,0.0
20.299944982583117,1.0,1.0,0.0
20.39994471156136,1.0,1.0,0.0
20.4999444405396,1.0,1.0,0.0
20.599944169517844,1.0,1.0,0.0
20.699943898496084,1.0,1.0,0.0
20.799943627474327,1.0,1.0,0.0
20.899943356452567,1.0,1.0,0.0
20.99994308543081,1.0,1.0,0.0
21.099942814409054,1.0,1.0,0.0
21.199942543387294,1.0,1.0,0.0
21.299942272365538,1.0,1.0,0.0
21.399942001343778,1.0,1.0,0.0
21.49994173032202,1.0,1.0,0.0
21.59994145930026,1.0,1.0,0.0
21.699941188278505,1.0,1.0,0.0
21.799940917256745,1.0,1.0,0.0
21.899940646234988,1.0,1.0,0.0
21.99994037521323,1.0,1.0,0.0
22.09994010419147,1.0,1.0,0.0
22.199939833169715,1.0,1.0,0.0
22.299939562147955,1.0,1.0,0.0
22.3999392911262,1.0,1.0,0.0
22.49993902010444,1.0,1.0,0.0
22.599938749082682,1.0,1.0,0.0
22.699938478060925,1.0,1.0,0.0
22.799938207039165,1.0,1.0,0.0
22.89993793601741,1.0,1.0,0.0
22.99993766499565,1.0,1.0,0.0
23.099937393973892,1.0,1.0,0.0
23.199937122952132,1.0,1.0,0.0
23.299936851930376,1.0,1.0,0.0
23.39993658090862,1.0,1.0,0.0
23.49993630988686,1.0,1.0,0.0
23.599936038865103,1.0,1.0,0.0
23.699935767843343,1.0,1.0,0.0
23.799935496821586,1.0,1.0,0.0
23.899935225799826,1.0,1.0,0.0
23.99993495477807,1.0,1.0,0.0
24.099934683756313,1.0,1.0,0.0
24.199934412734553,1.0,1.0,0.0
24.299934141712797,1.0,1.0,0.0
24.399933870691036,1.0,1.0,0.0
24.49993359966928,1.0,1.0,0.0
24.59993332864752,1.0,1.0,0.0
24.699933057625763,1.0,1.0,0.0
24.799932786604003,1.0,1.0,0.0
24.899932515582247,1.0,1.0,0.0
24.99993224456049,1.0,1.0,0.0
25.09993197353873,1.0,1.0,0.0
25.199931702516974,1.0,1.0,0.0
25.299931431495214,1.0,1.0,0.0
25.399931160473457,1.0,1.0,0.0
25.499930889451697,1.0,1.0,0.0
25.59993061842994,1.0,1.0,0.0
25.699930347408184,1.0,1.0,0.0
25.799930076386424,1.0,1.0,0.0
25.899929805364668,1.0,1.0,0.0
25.999929534342908,1.0,1.0,0.0
26.09992926332115,1.0,1.0,0.0
26.19992899229939,1.0,1.0,0.0
26.299928721277634,1.0,1.0,0.0
26.399928450255878,1.0,1.0,0.0
26.499928179234118,1.0,1.0,0.0
26.59992790821236,1.0,1.0,0.0
26.6999276371906,1.0,1.0,0.0
26.799927366168845,1.0,1.0,0.0
26.899927095147085,1.0,1.0,0.0
26.99992682412533,1.0,1.0,0.0
27.09992655310357,1.0,1.0,0.0
27.19992628208181,1.0,1.0,0.0
27.299926011060055,1.0,1.0,0.0
27.399925740038295,1.0,1.0,0.0
27.49992546901654,1.0,1.0,0.0
27.59992519799478,1.0,1.0,0.0
27.699924926973022,1.0,1.0,0.0
27.799924655951262,1.0,1.0,0.0
27.899924384929506,1.0,1.0,0.0
27.99992411390775,1.0,1.0,0.0
28.09992384288599,1.0,1.0,0.0
28.199923571864232,1.0,1.0,0.0
28.299923300842472,1.0,1.0,0.0
28.399923029820716,1.0,1.0,0.0
28.499922758798956,1.0,1.0,0.0
28.5999224877772,1.0,1.0,0.0
28.699922216755443,1.0,1.0,0.0
28.799921945733683,1.0,1.0,0.0
28.899921674711926,1.0,1.0,0.0
28.999921403690166,1.0,1.0,0.0
29.09992113266841,1.0,1.0,0.0
29.19992086164665,1.0,1.0,0.0
29.299920590624893,1.0,1.0,0.0
29.399920319603137,1.0,1.0,0.0
29.499920048581377,1.0,1.0,0.0
29.59991977755962,1.0,1.0,0.0
29.69991950653786,1.0,1.0,0.0
29.799919235516104,1.0,1.0,0.0
29.899918964494343,1.0,1.0,0.0
29.999918693472587,1.0,1.0,0.0
30.0,1.0,1.0,0.0
